Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1410,140
1361,154
1404,161
1408,184
684,181
1390,191
676,194
242,196
226,203
243,212
460,254
477,261
446,266
479,283
454,283
205,300
474,300
421,318
293,317
436,326
294,336
407,335
33,344
40,358
221,404
243,400
232,415
254,410
250,422
903,426
901,447
641,451
777,458
646,465
656,481
585,481
566,491
512,497
528,495
653,494
596,500
707,509
674,509
517,512
534,512
652,518
694,516
636,520
739,530
678,521
699,539
711,548
644,536
577,540
510,544
535,549
614,542
663,555
639,550
702,558
689,557
676,565
529,562
624,562
663,578
934,586
572,604
621,602
954,597
588,619
627,621
615,657
630,664
646,669
633,685
642,684
651,684
1002,739
981,743
994,758
816,839
820,854
830,858
722,888
297,886
705,901
734,907
321,901
294,906
267,948
1535,1004
1511,1007
1726,1017
1644,1032
1735,1033
1448,1032
1429,1044
1625,1052
1437,1057
1642,1059
1382,1068
1364,1079
1375,1108
1163,1113
1331,1121
1162,1135
1349,1132
1304,1135
1332,1140
1314,1145
65,1143
1300,1157
78,1155
1325,1160
1298,1191
1280,1187
1332,1190
322,1188
1323,1204
349,1193
1064,1205
330,1214
1311,1216
1269,1220
1070,1225
1328,1283
29,1309
193,1314
46,1326
30,1336
1826,1350
356,1357
335,1348
1807,1364
1628,1388
1648,1391
1054,1490
1057,1507
2030,1580
2003,1583
2017,1607
356,1670
837,1662
799,1671
815,1672
1176,1677
400,1679
382,1685
1184,1688
472,1683
351,1692
496,1688
515,1690
439,1697
690,1710
676,1723
696,1724
389,1716
406,1719
487,1728
625,1735
542,1734
392,1738
408,1739
647,1744
563,1743
1567,1762
628,1756
723,1760
521,1753
702,1762
1531,1751
459,1762
444,1765
552,1761
1586,1766
435,1769
1533,1769
1491,1762
662,1771
464,1776
576,1776
1469,1781
428,1780
530,1776
389,1779
584,1785
679,1786
467,1791
654,1787
573,1791
597,1785
394,1795
445,1792
374,1790
425,1798
563,1795
1494,1800
584,1798
1442,1797
598,1804
751,1804
736,1802
383,1812
581,1810
1589,1816
725,1803
1523,1818
1551,1829
453,1832
738,1825
438,1830
1510,1840
1592,1838
751,1834
464,1842
1567,1843
602,1847
425,1846
446,1848
627,1853
1529,1844
1116,1852
1549,1852
587,1852
577,1857
457,1857
425,1864
623,1868
437,1863
604,1865
766,1872
340,1864
581,1867
780,1868
319,1870
641,1871
433,1874
591,1877
450,1872
1129,1873
584,1888
604,1882
324,1888
338,1882
621,1883
829,1886
642,1887
788,1886
611,1892
765,1894
630,1893
636,1902
776,1903
388,1906
599,1906
377,1910
810,1904
616,1906
402,1912
681,1913
701,1914
367,1917
718,1924
388,1922
404,1931
677,1925
369,1930
696,1929
365,1942
711,1939
696,1945
381,1942
396,1946
471,1946
445,1946
455,1953
267,1960
314,1954
466,1955
481,1958
289,1957
436,1955
327,1967
304,1967
480,1972
463,1974
317,1978
441,1972
277,1974
359,1981
380,1990
297,1988
631,1990
345,1988
672,1996
208,2000
646,2006
490,2003
138,2013
351,2003
471,2008
115,2022
499,2017
221,2025
358,2023
469,2026
